Day,Exercise,Sets,Reps/Time,Weight,Notes,Form Guidance,Muscle Group,Main Muscle
Day 1 – Push,Barbell Bench Press,3,12,,Start with a compound lift for chest strength.,"Lower bar under control to mid-chest, elbows ~75°, press through heels and squeeze chest.",Chest + Triceps,Chest
Day 1 – Push,Incline Dumbbell Press,3,12,,Targets upper chest fibers.,"Press dumbbells upward at ~30° incline, wrists neutral, breathe out on push.",Chest + Triceps,Upper Chest
Day 1 – Push,Smith Machine Decline Press,3,12,,Controlled decline angle isolates lower chest.,"Grip slightly wider than shoulders, bar path stable, exhale on press.",Chest + Triceps,Lower Chest
Day 1 – Push,Cable Chest Fly,3,15,,Finisher for chest isolation.,"Arms slightly bent, bring handles together with controlled squeeze, slow eccentric.",Chest,Chest
Day 1 – Push,Close-Grip Barbell Press,3,12,,Shift load to triceps while pressing.,"Grip just inside shoulder width, elbows tucked, push straight up.",Triceps,Triceps
Day 1 – Push,Skull Crushers (EZ Bar),3,15,,Direct long-head triceps activation.,"Lower bar to forehead under control, keep elbows stable, extend fully.",Triceps,Triceps
Day 1 – Push,Bench Dips,3,15,,Bodyweight triceps burnout.,"Keep torso upright, lower until elbows ~90°, press up without shrugging.",Triceps,Triceps
Day 2 – Pull,Wide-Grip Pull-Up,3,10-12,,Back width builder.,"Pull chest toward bar, drive elbows down, avoid shrugging shoulders.",Back + Biceps,Lats
Day 2 – Pull,T-Bar Row,3,12,,Mid-back thickness.,"Keep torso ~45°, pull bar to sternum, squeeze shoulder blades.",Back,Mid-Back
Day 2 – Pull,Single-Arm Dumbbell Row,3,12-15,,Unilateral lat engagement.,"Support hand on bench, row dumbbell to waist, keep spine neutral.",Back,Lats
Day 2 – Pull,Hyperextension (weighted),3,15,,Strengthens spinal erectors + glutes.,"Hinge at hips, extend to straight line (not hyperextended), slow descent.",Posterior Chain,Lower Back
Day 2 – Pull,Barbell Curl,3,16,,Classic mass builder for biceps.,"Elbows close, curl bar without swinging, squeeze at top.",Biceps,Biceps
Day 2 – Pull,Incline Dumbbell Curl,3,12-15,,Stretches biceps for long-head work.,"Seated incline, let arms fully extend, curl smoothly without shoulders.",Biceps,Biceps (Long Head)
Day 2 – Pull,Cross-Body Hammer Curl,3,15,,Targets brachialis and forearm.,"Curl dumbbell across torso, palms neutral, control descent.",Biceps/Forearms,Brachialis
Day 3 – Legs,Barbell Front Squat,4,12,,Quad-dominant squat variation.,"Bar on front delts, elbows high, descend with upright chest, drive up through mid-foot.",Legs,Quads
Day 3 – Legs,Bulgarian Split Squat (Dumbbell),3,12/leg,,Single-leg balance + strength.,"Rear foot elevated, descend until front thigh parallel, push through heel.",Legs,Quads + Glutes
Day 3 – Legs,Hack Squat Machine,3,15,,Machine quad builder.,"Feet shoulder-width, descend deep under control, drive evenly upward.",Legs,Quads
Day 3 – Legs,Seated Leg Curl,3,15,,Hamstring isolation.,"Pad just above heels, pull with hamstrings, avoid hip lift.",Legs,Hamstrings
